City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,fort bragg,35.139,-79.006,23.23,73,0,2.06,US,1698542940
83,west island,-12.1568,96.8225,25.99,73,100,8.75,CC,1698542940
84,yellowknife,62.456,-114.3525,-1.44,89,40,6.17,CA,1698542794
85,kalanwali,29.85,74.95,20.78,35,29,2.24,IN,1698542941
86,princeville,45.7668,-61.2985,19.62,82,0,3.58,CA,1698542941
87,colonia,50.9333,6.95,15.49,80,0,6.17,DE,1698542875
88,uturoa,-16.7333,-151.4333,26.59,77,100,6.12,PF,1698542941
89,turabah,21.2141,41.6331,19.91,69,86,1.01,SA,1698542942
90,bamboo flat,11.7,92.7167,25.05,100,40,0.51,IN,1698542942
91,kuqa,41.7278,82.9364,10.67,39,95,1.02,CN,1698542942
92,sydney mines,46.2367,-60.2177,19.46,90,75,3.6,CA,1698542942
93,peace river,56.2501,-117.286,0.17,74,20,2.06,CA,1698542833
94,ellsworth,44.5434,-68.4195,16.47,67,0,3.13,US,1698542943
95,roma,43.2128,-75.4557,9.24,81,20,2.06,US,1698542943
96,ferkessedougou,9.6,-5.2,23.51,71,5,1.77,CI,1698542943
97,bredasdorp,-34.5322,20.0403,13.34,49,90,6.75,ZA,1698542943
98,klaksvik,62.2266,-6.589,7.51,76,57,11.42,FO,1698542944
99,camiri,-20.05,-63.5167,23.4,75,94,0.58,BO,1698542944
100,saudarkrokur,65.7461,-19.6394,-1.15,84,62,3.29,IS,1698542944
101,stanley,54.868,-1.6985,10.16,93,75,4.12,GB,1698542944
102,papatowai,-46.5619,169.4708,12.12,59,70,2.65,NZ,1698542945
103,qaqortoq,60.7167,-46.0333,0.3,81,100,1.67,GL,1698542945
104,tan-tan,28.438,-11.1032,19.74,77,100,1.58,MA,1698542945
105,constantia,44.1833,28.65,14.28,56,25,3.49,RO,1698542945
106,valle de la pascua,9.2155,-66.0073,25.41,82,91,2.12,VE,1698542946
107,nar'yan-mar,67.6713,53.087,-12.16,90,100,3.58,RU,1698542946
108,torghay,49.6339,63.4981,4.15,92,100,1.14,KZ,1698542946
109,knokke-heist,51.3333,3.3333,15.01,79,54,11.19,BE,1698542946
110,tolanaro,-25.0319,46.9987,24.04,88,20,9.26,MG,1698542946
111,gadzhiyevo,69.2551,33.3362,-8.02,95,87,1.82,RU,1698542947
112,ndende,-2.4008,11.3581,23.25,93,8,0.55,GA,1698542947
113,soure,-0.7167,-48.5233,27.83,78,31,5.33,BR,1698542947
114,vadso,70.0744,29.7487,-2.91,93,100,2.06,NO,1698542948
115,enewetak,11.3474,162.3373,28.69,73,91,4.66,MH,1698542948
116,nemuro,43.3236,145.575,12.02,82,88,6.33,JP,1698542948
117,vila do maio,15.1333,-23.2167,26.44,73,94,5.55,CV,1698542948
118,murzuq,25.9155,13.9184,23.21,23,0,3.12,LY,1698542948
119,malango,-2.9627,119.9001,27.48,44,3,1.7,ID,1698542949
120,kaduna,10.5222,7.4383,21.98,33,4,1.96,NG,1698542741
121,fredericksburg,38.3032,-77.4605,23.34,76,0,0.0,US,1698542834
122,callao,-12.0667,-77.15,22.07,83,75,4.63,PE,1698542949
123,canton,23.1167,113.25,25.49,79,100,1.46,CN,1698542770
124,taro,-8.3862,115.28,26.0,59,96,1.84,ID,1698542950
125,kununurra,-15.7667,128.7333,32.99,21,86,2.57,AU,1698542950
126,trevelin,-43.0858,-71.4639,3.71,91,69,5.23,AR,1698542950
127,port mathurin,-19.6833,63.4167,24.36,76,3,3.49,MU,1698542950
128,kodiak,57.79,-152.4072,7.73,93,100,8.75,US,1698542951
129,hermanus,-34.4187,19.2345,13.3,57,10,8.87,ZA,1698542951
130,fandriana,-20.2333,47.3833,16.05,89,6,1.0,MG,1698542951
131,daru,-9.0763,143.2092,25.41,91,100,7.61,PG,1698542951
132,ola,59.5833,151.2833,-2.14,64,88,2.2,RU,1698542952
133,jamestown,42.097,-79.2353,9.45,85,75,2.68,US,1698542768
134,leava,-14.3,-178.1667,27.28,81,72,5.52,WF,1698542952
135,mount pearl,47.5166,-52.7813,12.86,90,75,10.29,CA,1698542952
136,andergrove,-21.0833,149.1833,26.47,52,21,6.71,AU,1698542952
137,remire-montjoly,4.9167,-52.2667,27.02,89,0,2.57,GF,1698542953
138,lishu,43.3047,124.3278,13.0,33,42,5.88,CN,1698542953
139,prado,-17.3411,-39.2208,24.9,83,86,5.65,BR,1698542953
140,puerto aysen,-45.4,-72.7,3.3,99,100,2.09,CL,1698542953
141,sharlyk,52.9167,54.75,3.22,98,100,9.15,RU,1698542953
142,codrington,-38.2667,141.9667,17.11,39,100,3.47,AU,1698542954
143,vila franca do campo,37.7167,-25.4333,17.16,99,70,5.34,PT,1698542954
144,lisala,2.15,21.5167,20.62,97,42,0.67,CD,1698542954
145,nova vicosa,-17.8919,-39.3719,25.03,84,96,6.25,BR,1698542954
146,lihue,21.9789,-159.3672,28.58,72,0,6.69,US,1698542955
147,coahuayana de hidalgo,18.7,-103.6583,26.42,86,100,1.16,MX,1698542955
148,arraial do cabo,-22.9661,-42.0278,23.42,93,100,12.36,BR,1698542752
149,la mira,18.035,-102.3266,26.26,86,100,2.33,MX,1698542955
150,antsiranana,-12.2787,49.2917,24.46,80,10,6.53,MG,1698542955
